Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
08-Feb-2019,176.95,177,178.5,173.25,175.1,175.1,175.96,32561739,5729414776.35,178704,5611958,17.23
11-Feb-2019,175.1,175.1,176,170.1,173,173.25,172.91,29509227,5102339820.7,175983,4633586,15.7
12-Feb-2019,173.25,173,176.25,172.1,172.65,172.65,174.42,22298518,3889327345.4,150872,4033079,18.09
13-Feb-2019,172.65,173.95,174.7,168.1,168.7,169.45,171.11,26229114,4488141709.75,171541,6259211,23.86
14-Feb-2019,169.45,186.35,224,186.35,222.6,221.25,211.14,264725005,55893855220.15,1276162,60889373,23
15-Feb-2019,221.25,226.9,226.9,211.3,217.45,219,218.86,141193124,30900928345.5,713092,14034481,9.94
18-Feb-2019,219,201,216.7,201,214,213.55,212.11,89969426,19083708450.35,484527,13843994,15.39
19-Feb-2019,213.55,215.1,218.1,211.55,213.5,212.85,214.18,33990276,7279944307,177252,4900089,14.42
20-Feb-2019,212.85,216.9,219.8,213.35,216.95,217.85,216.38,48429455,10479353481.45,229446,12764925,26.36
21-Feb-2019,217.85,218.85,218.85,214,215.5,215.15,215.42,27975632,6026410218.15,151900,6695073,23.93
22-Feb-2019,215.15,214.5,223.7,213.1,221.3,222,220.47,51329944,11316616538.6,266455,8584689,16.72
25-Feb-2019,222,223.85,230.6,221.2,227.8,229.1,226,47825222,10808707381.5,277705,8133486,17.01
26-Feb-2019,229.1,223.2,234.45,220.1,230.55,229.5,227.75,84298892,19198841396.2,409115,15095137,17.91
27-Feb-2019,229.5,233,236.8,223.65,227.6,228.2,230.59,74650022,17213855464.5,375158,11702655,15.68
28-Feb-2019,228.2,230,232.75,226.8,232.2,231.15,230.31,45753501,10537678830.65,222394,11471503,25.07
01-Mar-2019,231.15,234.9,238.5,234.1,236.9,237.6,236.5,42006406,9934369733.35,242688,9324717,22.2
05-Mar-2019,237.6,236,240.75,234.5,237.1,237.45,238.33,30848699,7352071912.8,208235,7212165,23.38
06-Mar-2019,237.45,238.1,240.65,232.95,235.05,235.3,236.42,24658589,5829878603.85,139472,5260247,21.33
07-Mar-2019,235.3,235.5,236,228.65,231.85,231.7,231.84,27229610,6312997590.15,175313,5665646,20.81
08-Mar-2019,231.7,231.7,234.9,229.5,231.7,232.3,232.51,23233663,5402123790.6,144107,4970051,21.39
11-Mar-2019,232.3,233,238,231.6,237.15,236.3,235.9,21189817,4998738945.95,117027,5366001,25.32
12-Mar-2019,236.3,238,239.2,235,235.1,235.85,237.14,22100817,5240964073.05,135948,6084220,27.53
13-Mar-2019,235.85,236,247.6,232.7,244.25,244.3,242.07,58883298,14254119799.4,307346,11098533,18.85
14-Mar-2019,244.3,248,254,246.15,250.15,249.85,250.85,59684202,14971775478.6,330601,10593357,17.75
15-Mar-2019,249.85,251.7,252.8,243.5,245.05,245.05,247.39,38715468,9577921922.2,206568,10790762,27.87
18-Mar-2019,245.05,247,248.55,241.8,246.8,245.95,245.24,24825632,6088215385.8,137716,4752203,19.14
19-Mar-2019,245.95,246.65,250.5,245,249.35,248.8,248.34,21448040,5326320590.75,144647,4621743,21.55
20-Mar-2019,248.8,248.75,253,246.4,252.55,252.15,250.44,26817389,6716203895.8,152824,6960671,25.96
22-Mar-2019,798.65,252.15,252.15,252.15,252.15,252.15,252.15,945027,238288558.05,1,945027,100
22-Mar-2019,252.15,253,257.5,250.35,252.35,252.6,254.9,34018752,8671291256.25,217734,7401451,21.76
25-Mar-2019,252.6,250,250.4,246.1,247.4,247.25,247.98,23540100,5837533455.85,132660,8379295,35.6
26-Mar-2019,247.25,247.5,254.8,247.45,254.65,253.7,250.76,20571726,5158625314.95,137338,5834953,28.36
27-Mar-2019,253.7,258.4,269.85,256.1,268.6,268.45,264.48,84155309,22257432767.85,468840,19274654,22.9
28-Mar-2019,268.45,270.65,277.7,268.3,275.1,276.1,273.61,48078072,13154808424.95,279312,14420171,29.99
29-Mar-2019,276.1,277.9,281.5,273.55,274.5,275.1,278.23,35855963,9976124280.15,226085,10565205,29.47
01-Apr-2019,275.1,276,280,273.8,276.05,275.9,276.5,27807546,7688833851.65,212387,6596267,23.72
02-Apr-2019,275.9,278.2,282.05,274.8,282,280.3,278.16,24708930,6872916293.5,182039,5906625,23.9
03-Apr-2019,280.3,283.5,286,272.2,274,273.7,280.03,31808834,8907470186.5,197853,9413985,29.6
04-Apr-2019,273.7,274,275,265,268.3,268.05,268.73,42003554,11287544202.75,260005,12805607,30.49
05-Apr-2019,268.05,270,274,264.25,266.5,266.85,268.91,28319923,7615558714.15,210219,9004795,31.8
08-Apr-2019,266.85,267.1,268.1,258.25,260.7,260.05,263.18,26252469,6909161461.6,162747,7415011,28.25
09-Apr-2019,260.05,261.9,272,258.7,271.75,270.6,265.92,39195173,10422593057.95,272721,7066531,18.03
10-Apr-2019,270.6,272,275.45,267.5,268.55,268.25,271.29,32016249,8685562271.4,203798,7399673,23.11
11-Apr-2019,268.25,268.75,270.25,264,270.1,269.05,267.1,20363799,5439076351.5,141611,3058266,15.02
12-Apr-2019,269.05,269.7,271.9,265.8,267.5,267.9,268.28,21736271,5831419340.8,120534,4396606,20.23
15-Apr-2019,267.9,268.45,269.9,264.8,265.8,265.5,267.16,13509220,3609076620.35,114555,3352737,24.82
16-Apr-2019,265.5,267.55,269.2,265,265.9,266.45,266.89,16368625,4368568536.4,131574,5550242,33.91
18-Apr-2019,266.45,266.4,267.95,254.05,255.55,255.8,258.33,32491440,8393396382.95,207697,9620624,29.61
22-Apr-2019,255.8,253.95,254.4,237,238.1,238.35,244.15,37467080,9147704435.55,270895,11754412,31.37
23-Apr-2019,238.35,239,244.65,230.5,231,232.7,239.28,43232834,10344908884.2,275123,10195966,23.58
24-Apr-2019,232.7,233,240.4,231.2,238.55,239.15,235.33,38516951,9064024329.8,231797,9125400,23.69
25-Apr-2019,239.15,241,250.4,236.05,237.25,237.05,243.05,71641179,17412045875.1,376119,21353446,29.81
26-Apr-2019,237.05,239.9,240.35,232.1,237.8,237.2,236.9,48524121,11495237090.05,287440,7346956,15.14
30-Apr-2019,237.2,213.5,213.5,165.6,166.75,168,173.06,217219923,37591603607.15,1295397,72448317,33.35
02-May-2019,168,162,178,160,174,173.75,172.73,124177861,21449413190.15,712195,29783372,23.98
03-May-2019,173.75,177,177.8,169.7,175.8,175.9,175.25,58953903,10331889494,359177,13698320,23.24
06-May-2019,175.9,168.05,171.9,165.5,167,166.25,168.49,49500412,8340192455.8,323943,13695286,27.67
07-May-2019,166.25,169,169.95,163.65,165.05,164.75,166.27,40446604,6724918865.25,262090,10300397,25.47
08-May-2019,164.75,165,166.5,160,161.4,160.75,162.27,47387735,7689614783.1,289614,16438468,34.69
09-May-2019,160.75,158,171.4,156.5,171.15,170.3,166.41,88653903,14753106734.6,480980,14408456,16.25
10-May-2019,170.3,172.75,174.25,162.8,164.4,163.85,168.46,62257935,10487949460.55,385975,12839705,20.62
13-May-2019,163.85,164.9,165.45,154,155.75,154.7,158.14,60884255,9628387984.4,391341,18858964,30.98
14-May-2019,154.7,155.1,158.9,151.4,156.95,155.85,155.02,62642515,9710736222.8,343315,13748165,21.95
15-May-2019,155.85,154.2,154.3,141.8,142.35,142.95,147.81,95899314,14174778342.9,613726,30838155,32.16
16-May-2019,142.95,144,145.9,134.65,138.2,137.75,139.43,82730883,11534775644.9,499885,15339101,18.54
17-May-2019,137.75,141,146,132.45,134.1,134.15,139.28,117940438,16427042108.45,635680,23123434,19.61
20-May-2019,134.15,142.5,144.9,137,143.7,143.55,141.44,82205265,11626794197.55,425481,20787557,25.29
21-May-2019,143.55,145,145,138.5,141.1,141,140.82,59499614,8378474710.8,290808,12786149,21.49
22-May-2019,141,141,141.25,135.5,138.9,137.55,137.79,58669730,8084163639.6,334323,12963610,22.1
23-May-2019,137.55,143.9,150.8,138.75,140.3,139.75,144.47,111719246,16140421284.2,567175,22917508,20.51
24-May-2019,139.75,141,142.9,139.5,141.1,141.2,141.06,45274708,6386361468.5,243827,9275472,20.49
27-May-2019,141.2,142,148.45,140.85,146.75,146.8,145.98,67258367,9818308858,326661,16127246,23.98
28-May-2019,146.8,148.95,154.9,148.2,153.4,152.8,152.4,81670499,12446919563.75,434119,18511760,22.67
29-May-2019,152.8,154,156,150.65,151.7,151.7,153.22,49000782,7507968182.95,246452,9286518,18.95
30-May-2019,151.7,150.2,156.5,149.9,155.25,155,154.16,55475576,8551856947.45,262051,10067699,18.15
31-May-2019,155,156.6,157,147,147.55,147.8,151.35,63368992,9590743956.7,291783,14142645,22.32
03-Jun-2019,147.8,148,149.9,144.5,149.5,149.45,147.92,40272408,5956895906.4,213368,5516717,13.7
04-Jun-2019,149.45,148.8,153.85,148.55,153.35,152.8,152.13,45560540,6930987753.85,211449,6924669,15.2
06-Jun-2019,152.8,148.45,151.2,142.3,143.85,143.4,146.84,65169529,9569569223.95,328748,12398785,19.03
07-Jun-2019,143.4,143.4,145.45,136.15,140,139.9,140.82,66206668,9322925263.65,328918,10327937,15.6
